student_id,interaction_order,is_correct,time_taken,attempt_count,hint_count
0,0,1,0.107,1,1
0,1,1,0.289,2,1
0,2,1,0.341,2,1
0,3,1,0.29,1,0
0,4,1,0.26,1,0
0,5,1,0.265,1,1
0,6,0,0.131,1,0
0,7,0,0.286,1,0
0,8,0,0.292,1,0
0,9,1,0.275,1,0
0,10,1,0.345,1,1
0,11,0,0.266,1,0
0,12,1,0.319,2,0
0,13,0,0.328,1,0
0,14,0,0.238,1,0
0,15,1,0.134,2,1
0,16,1,0.144,1,0
0,17,1,0.217,1,0
0,18,1,0.184,1,0
0,19,1,0.133,1,1
0,20,1,0.32,1,0
0,21,1,0.211,1,0
1,0,0,0.319,2,1
1,1,1,0.611,2,1
1,2,1,0.434,1,1
1,3,1,0.646,1,0
1,4,0,0.696,1,1
1,5,0,0.66,2,2
1,6,1,0.634,2,2
1,7,0,0.263,1,0
1,8,1,0.347,2,1
1,9,0,0.491,1,0
1,10,1,0.283,1,0
2,0,0,0.945,1,2
2,1,0,0.943,2,1
2,2,0,0.728,1,3
2,3,0,0.93,1,0
2,4,0,0.59,2,1
2,5,1,0.97,3,0
2,6,1,0.912,3,1
2,7,0,0.979,2,3
2,8,1,0.577,2,2
2,9,1,0.545,2,0
2,10,0,0.982,2,1
2,11,0,0.641,1,3
2,12,0,0.659,2,2
2,13,0,0.727,1,3
2,14,1,0.682,2,3
2,15,0,0.923,2,0
2,16,0,0.773,3,0
2,17,0,0.53,2,3
2,18,0,0.842,3,0
3,0,1,0.696,2,2
3,1,0,0.535,2,0
3,2,0,0.448,1,1
3,3,1,0.641,1,1
3,4,1,0.265,1,2
3,5,1,0.645,2,0
3,6,0,0.409,2,2
3,7,0,0.536,1,0
3,8,0,0.325,2,0
3,9,1,0.234,2,0
3,10,0,0.696,1,2
3,11,1,0.432,1,0
3,12,1,0.647,1,2
3,13,0,0.291,2,2
4,0,1,0.265,2,2
4,1,1,0.365,2,2
4,2,0,0.593,2,0
4,3,0,0.374,2,1
4,4,1,0.633,2,1
4,5,0,0.535,2,0
4,6,0,0.429,2,1
4,7,1,0.689,2,2
4,8,1,0.548,1,0
4,9,1,0.274,2,0
4,10,1,0.373,2,2
5,0,1,0.172,1,1
5,1,1,0.155,1,0
5,2,0,0.056,1,0
5,3,0,0.179,2,0
5,4,1,0.136,2,0
5,5,1,0.093,1,0
5,6,1,0.201,1,0
5,7,1,0.262,1,0
5,8,0,0.333,1,1
5,9,1,0.339,2,1
5,10,1,0.171,1,1
6,0,1,0.076,1,0
6,1,1,0.053,1,1
6,2,1,0.328,2,1
6,3,1,0.084,2,0
6,4,0,0.249,1,0
6,5,1,0.117,1,0
6,6,1,0.097,1,0
6,7,1,0.235,1,0
6,8,1,0.296,1,0
6,9,1,0.06,1,0
6,10,1,0.311,2,0
6,11,1,0.232,1,0
6,12,0,0.226,1,1
6,13,1,0.299,1,0
6,14,1,0.228,2,0
7,0,0,0.414,1,2
7,1,1,0.586,1,0
7,2,1,0.301,2,2
7,3,0,0.609,1,1
7,4,1,0.455,2,0
7,5,1,0.391,1,1
7,6,1,0.311,1,2
